Date,PartID,PartName,ServiceCenter,VehicleModel,QtyOrdered,UnitCost,LeadTimeDays
4/12/2024,P006,Tire Set,New York,Model X,435,1465,10
12/14/2024,P015,Motor Assembly,Shanghai,Model 3,303,241,5
9/27/2024,P014,Brake Pad Set,Berlin,Model X,107,820,21
4/16/2024,P003,Door Handle,Berlin,Model X,367,590,9
3/12/2024,P019,Brake Pad Set,Berlin,Cybertruck,449,1704,14
7/7/2024,P006,Charging Cable,Fremont,Model X,228,1035,15
1/21/2024,P002,Shock Absorber,Berlin,Model Y,255,965,27
4/12/2024,P009,Brake Pad Set,Austin,Model X,185,245,9
5/1/2024,P013,Infotainment Screen,Berlin,Cybertruck,159,1632,13
8/2/2024,P018,Coolant Pump,Fremont,Model Y,264,390,9
11/26/2024,P012,Fuse Box,Berlin,Model X,499,499,6
3/28/2024,P004,Charging Cable,New York,Cybertruck,32,561,14
4/9/2024,P007,Infotainment Screen,Shanghai,Model 3,339,1533,11
12/25/2024,P012,Radiator,Austin,Model X,378,614,6
5/31/2024,P011,AC Compressor,Austin,Model X,487,599,18
5/10/2024,P007,Shock Absorber,Berlin,Model Y,386,405,10
5/29/2024,P010,Shock Absorber,Fremont,Model Y,316,225,22
11/4/2024,P009,Motor Assembly,Shanghai,Model Y,206,1005,20
9/14/2024,P002,Windshield,Fremont,Model 3,227,1119,19
12/9/2024,P005,Brake Pad Set,Berlin,Model X,19,130,22
10/20/2024,P010,Brake Pad Set,Fremont,Cybertruck,310,265,6
7/10/2024,P014,Windshield,Shanghai,Model X,198,94,10
10/3/2024,P016,Motor Assembly,Shanghai,Model S,324,1207,18
6/9/2024,P002,Bumper Cover,Fremont,Model Y,400,95,20
11/9/2024,P019,Radiator,Berlin,Model X,2,1101,3
1/22/2024,P009,Radiator,Shanghai,Model Y,202,411,15
9/9/2024,P014,Coolant Pump,Fremont,Model 3,325,1595,25
8/23/2024,P015,Coolant Pump,Fremont,Model X,262,1043,26
12/10/2024,P019,Tire Set,Austin,Model Y,475,686,29
2/18/2024,P008,AC Compressor,Shanghai,Model 3,285,836,14
2/28/2024,P015,Infotainment Screen,Austin,Cybertruck,28,271,25
6/18/2024,P008,Bumper Cover,Shanghai,Model S,30,136,12
7/6/2024,P004,Windshield,Berlin,Cybertruck,424,1092,29
9/27/2024,P006,Headlight Assembly,Austin,Model Y,358,1679,18
7/8/2024,P011,Battery Module,Austin,Model S,114,417,11
6/23/2024,P012,Battery Module,Berlin,Model S,40,326,24
2/20/2024,P009,Air Filter,New York,Model S,305,1782,3
12/29/2024,P018,Infotainment Screen,Austin,Model 3,237,1620,13
2/24/2024,P017,Fuse Box,Berlin,Model S,471,770,17
8/31/2024,P003,Suspension Arm,Berlin,Model S,402,793,7
11/15/2024,P013,Battery Module,Berlin,Model 3,109,272,24
5/10/2024,P006,Door Handle,Shanghai,Model 3,369,199,15
11/2/2024,P014,Coolant Pump,Berlin,Model X,257,1085,29
5/14/2024,P001,Steering Wheel,Berlin,Cybertruck,227,546,25
1/21/2024,P004,Suspension Arm,Fremont,Model X,252,495,12
11/24/2024,P018,Battery Module,New York,Model 3,46,1055,15
6/15/2024,P011,Seat Belt Kit,Austin,Model S,364,602,18
9/30/2024,P011,Shock Absorber,Berlin,Cybertruck,372,1767,16
3/29/2024,P008,Motor Assembly,Fremont,Cybertruck,82,84,29
11/11/2024,P004,Mirror Assembly,Berlin,Cybertruck,30,1779,8
1/14/2024,P002,Coolant Pump,New York,Model 3,105,1169,14
8/29/2024,P001,Infotainment Screen,New York,Model 3,486,613,7
9/21/2024,P010,AC Compressor,Austin,Model 3,41,1759,16
12/11/2024,P017,Suspension Arm,Berlin,Model 3,58,752,27
2/22/2024,P007,Suspension Arm,Austin,Model S,60,103,18
12/5/2024,P007,Bumper Cover,Austin,Cybertruck,230,1480,14
4/1/2024,P013,Air Filter,Fremont,Model X,393,788,23
9/20/2024,P001,Shock Absorber,Berlin,Model Y,117,1009,3
2/4/2024,P001,Windshield,Shanghai,Model Y,251,130,19
7/24/2024,P013,Motor Assembly,Shanghai,Cybertruck,344,1770,16
3/21/2024,P001,Coolant Pump,New York,Model 3,59,1029,18
2/19/2024,P006,Shock Absorber,Shanghai,Cybertruck,228,1864,17
12/25/2024,P010,Radiator,Austin,Model Y,450,885,6
1/2/2024,P001,Shock Absorber,Austin,Model S,69,1420,25
2/23/2024,P005,Air Filter,Fremont,Cybertruck,336,486,22
4/15/2024,P002,Charging Cable,New York,Model X,178,1295,14
9/16/2024,P003,Fuse Box,New York,Model X,435,1021,15
11/5/2024,P003,Mirror Assembly,New York,Model Y,394,704,21
7/9/2024,P018,Motor Assembly,Shanghai,Model Y,373,1553,11
8/5/2024,P008,AC Compressor,Fremont,Model 3,289,1945,8
